,precision,recall,f1-score,support
admiration,0.7272727272727273,0.6153846153846154,0.6666666666666666,13.0
amusement,0.7142857142857143,1.0,0.8333333333333334,10.0
anger,0.6,0.5,0.5454545454545454,6.0
annoyance,0.6,0.25,0.35294117647058826,12.0
approval,0.25,0.2857142857142857,0.26666666666666666,7.0
caring,0.6,0.42857142857142855,0.5,7.0
confusion,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
curiosity,0.5,0.5714285714285714,0.5333333333333333,7.0
desire,0.5,0.3333333333333333,0.4,3.0
disappointment,0.5,0.3333333333333333,0.4,3.0
disapproval,0.3333333333333333,0.18181818181818182,0.23529411764705882,11.0
disgust,0.0,0.0,0.0,1.0
embarrassment,0.0,0.0,0.0,1.0
excitement,0.0,0.0,0.0,2.0
fear,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
gratitude,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
joy,0.5,0.25,0.3333333333333333,4.0
love,0.3333333333333333,1.0,0.5,3.0
nervousness,1.0,1.0,1.0,1.0
optimism,0.6666666666666666,0.4,0.5,5.0
realization,0.25,0.3333333333333333,0.2857142857142857,3.0
remorse,0.625,1.0,0.7692307692307693,5.0
sadness,0.75,0.6,0.6666666666666666,5.0
surprise,0.75,0.6,0.6666666666666666,5.0
neutral,0.5774647887323944,0.6833333333333333,0.6259541984732825,60.0
accuracy,0.585,0.585,0.585,0.585
macro avg,0.521350672801377,0.501096903096903,0.4914553585914161,200.0
weighted avg,0.5876847829400647,0.585,0.5708224880193897,200.0
