,precision,recall,f1-score,support
admiration,0.0,0.0,0.0,13.0
amusement,0.0,0.0,0.0,10.0
anger,0.21052631578947367,0.6666666666666666,0.32,6.0
annoyance,0.0,0.0,0.0,12.0
approval,0.0,0.0,0.0,7.0
caring,0.0,0.0,0.0,7.0
confusion,0.0,0.0,0.0,6.0
curiosity,0.0,0.0,0.0,7.0
desire,0.0,0.0,0.0,3.0
disappointment,0.0,0.0,0.0,3.0
disapproval,0.0,0.0,0.0,11.0
disgust,0.0,0.0,0.0,1.0
embarrassment,0.0,0.0,0.0,1.0
excitement,0.0,0.0,0.0,2.0
fear,0.5,0.7142857142857143,0.5882352941176471,7.0
gratitude,0.0,0.0,0.0,13.0
joy,0.08823529411764706,0.75,0.15789473684210525,4.0
love,0.0,0.0,0.0,3.0
nervousness,0.0,0.0,0.0,1.0
optimism,0.0,0.0,0.0,5.0
realization,0.0,0.0,0.0,3.0
remorse,0.0,0.0,0.0,5.0
sadness,0.3125,1.0,0.47619047619047616,5.0
surprise,0.16666666666666666,0.8,0.27586206896551724,5.0
neutral,0.4230769230769231,0.55,0.4782608695652174,60.0
accuracy,0.27,0.27,0.27,0.27
macro avg,0.06804020798602842,0.17923809523809525,0.09185773782723851,200.0
weighted avg,0.16448273894578072,0.27,0.19562570452942482,200.0
