,precision,recall,f1-score,support
admiration,0.0,0.0,0.0,13.0
amusement,0.6666666666666666,0.8,0.7272727272727273,10.0
anger,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
annoyance,0.08333333333333333,0.08333333333333333,0.08333333333333333,12.0
approval,0.3333333333333333,0.14285714285714285,0.2,7.0
caring,0.18181818181818182,0.2857142857142857,0.2222222222222222,7.0
confusion,0.15384615384615385,0.6666666666666666,0.25,6.0
curiosity,0.2857142857142857,0.5714285714285714,0.38095238095238093,7.0
desire,0.14285714285714285,0.3333333333333333,0.2,3.0
disappointment,0.13333333333333333,0.6666666666666666,0.2222222222222222,3.0
disapproval,0.0,0.0,0.0,11.0
disgust,0.0,0.0,0.0,1.0
embarrassment,0.0,0.0,0.0,1.0
excitement,0.08333333333333333,0.5,0.14285714285714285,2.0
fear,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
gratitude,0.7857142857142857,0.8461538461538461,0.8148148148148148,13.0
joy,0.0,0.0,0.0,4.0
love,0.0,0.0,0.0,3.0
nervousness,0.5,1.0,0.6666666666666666,1.0
optimism,0.0,0.0,0.0,5.0
pride,0.0,0.0,0.0,0.0
realization,0.0,0.0,0.0,3.0
relief,0.0,0.0,0.0,0.0
remorse,0.5,0.6,0.5454545454545454,5.0
sadness,0.2222222222222222,0.4,0.2857142857142857,5.0
surprise,0.5,0.4,0.4444444444444444,5.0
neutral,0.0,0.0,0.0,60.0
accuracy,0.25,0.25,0.25,0.25
macro avg,0.2081404192515304,0.3090286256952923,0.23087310494717903,200.0
weighted avg,0.19508219558219558,0.25,0.2079232804232804,200.0
