,precision,recall,f1-score,support
admiration,0.0,0.0,0.0,13.0
amusement,0.0,0.0,0.0,10.0
anger,0.08571428571428572,0.5,0.14634146341463414,6.0
annoyance,0.0,0.0,0.0,12.0
approval,0.0,0.0,0.0,7.0
caring,0.0,0.0,0.0,7.0
confusion,0.0,0.0,0.0,6.0
curiosity,0.0,0.0,0.0,7.0
desire,0.0,0.0,0.0,3.0
disappointment,0.0,0.0,0.0,3.0
disapproval,0.0,0.0,0.0,10.0
disgust,0.0,0.0,0.0,1.0
embarrassment,0.0,0.0,0.0,1.0
excitement,0.0,0.0,0.0,2.0
fear,0.11764705882352941,0.2857142857142857,0.16666666666666666,7.0
gratitude,0.0,0.0,0.0,13.0
joy,0.04938271604938271,1.0,0.09411764705882353,4.0
love,0.14285714285714285,0.3333333333333333,0.2,3.0
nervousness,0.0,0.0,0.0,1.0
optimism,0.0,0.0,0.0,5.0
realization,0.0,0.0,0.0,3.0
remorse,0.0,0.0,0.0,5.0
sadness,0.10204081632653061,1.0,0.18518518518518517,5.0
surprise,0.3,0.6,0.4,5.0
neutral,0.0,0.0,0.0,60.0
accuracy,0.09045226130653267,0.09045226130653267,0.09045226130653267,0.09045226130653267
macro avg,0.03190568079083485,0.14876190476190476,0.047692438493012385,199.0
weighted avg,0.019970459801266497,0.09045226130653267,0.029884984730229606,199.0
